Номер_сессии,Сессия,Испытуемый,Видео,Формат_экрана,MOS,Таймкод,Разрешение,Масштаб_%,Битрейт_кбит,FPS,Дата_время,Статус
1,20260603 122623,4,3,720,4,01:36,552×290,13.5,13924,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,4,3,720,3,02:06,294×154,7.2,25487,60/1,2026-06-03 13:03:24,OK
1,20260603 122623,4,3,720,2,,,,,,2026-06-03 13:03:24,Исключено: нет данных
1,20260603 122623,4,4,720,5,00:02,4096×2160,100.0,12627,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,4,4,720,4,01:25,682×360,16.7,12882,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,4,4,720,3,02:01,326×172,8.0,10546,60/1,2026-06-03 13:06:05,OK
1,20260603 122623,4,4,720,2,02:15,238×124,5.8,11239,60/1,2026-06-03 13:06:05,OK
2,20260603 131950,5,1,1080,5,00:03,4096×2160,100.0,23413.0,60/1,2026-06-03 13:40:40,OK
2,20260603 131950,5,1,1080,4,00:04,4096×2160,100.0,23413.0,60/1,2026-06-03 13:40:40,"Исключено: нажатие до деградации (MOS=4, 00:04, 100.0%)"
2,20260603 131950,5,1,1080,3,01:43,496×262,12.2,17235.0,60/1,2026-06-03 13:40:40,OK
2,20260603 131950,5,1,1080,2,02:03,326×172,8.0,19666.0,60/1,2026-06-03 13:40:40,OK
2,20260603 131950,5,2,1080,5,00:05,3686×1944,90.0,11912.0,60/1,2026-06-03 13:43:20,OK
2,20260603 131950,5,2,1080,4,01:04,1156×610,28.2,20695.0,60/1,2026-06-03 13:43:20,OK
2,20260603 131950,5,2,1080,3,01:42,496×262,12.2,10850.0,60/1,2026-06-03 13:43:20,OK
2,20260603 131950,5,2,1080,2,02:08,294×154,7.2,11643.0,60/1,2026-06-03 13:43:20,OK
2,20260603 131950,5,3,1080,5,00:04,4096×2160,100.0,16232.0,60/1,2026-06-03 13:45:59,OK
2,20260603 131950,5,3,1080,4,01:21,758×400,18.5,18989.0,60/1,2026-06-03 13:45:59,OK
2,20260603 131950,5,3,1080,3,01:43,496×262,12.2,9763.0,60/1,2026-06-03 13:45:59,OK
2,20260603 131950,5,3,1080,2,02:02,326×172,8.0,21322.0,60/1,2026-06-03 13:45:59,OK
2,20260603 131950,5,4,1080,5,00:04,4096×2160,100.0,12627.0,60/1,2026-06-03 13:48:39,OK
2,20260603 131950,5,4,1080,4,01:13,936×494,22.9,23949.0,60/1,2026-06-03 13:48:39,OK
2,20260603 131950,5,4,1080,3,01:41,496×262,12.2,17190.0,60/1,2026-06-03 13:48:39,OK
2,20260603 131950,5,4,1080,2,02:03,326×172,8.0,10546.0,60/1,2026-06-03 13:48:39,OK
2,20260603 131950,5,1,4K,5,00:09,3686×1944,90.0,30431.0,60/1,2026-06-03 13:29:42,OK
2,20260603 131950,5,1,4K,4,01:41,496×262,12.2,17235.0,60/1,2026-06-03 13:29:42,OK
2,20260603 131950,5,1,4K,3,02:13,264×138,6.5,26487.0,60/1,2026-06-03 13:29:42,OK
2,20260603 131950,5,1,4K,2,02:27,192×100,4.7,11247.0,60/1,2026-06-03 13:29:42,OK
2,20260603 131950,5,2,4K,5,00:03,4096×2160,100.0,11447.0,60/1,2026-06-03 13:32:21,OK
2,20260603 131950,5,2,4K,4,01:06,1040×548,25.4,26503.0,60/1,2026-06-03 13:32:21,OK
2,20260603 131950,5,2,4K,3,01:28,682×360,16.7,19254.0,60/1,2026-06-03 13:32:21,OK
2,20260603 131950,5,2,4K,2,01:48,448×236,10.9,9556.0,60/1,2026-06-03 13:32:21,OK
2,20260603 131950,5,3,4K,5,00:03,4096×2160,100.0,16232.0,60/1,2026-06-03 13:34:58,OK
2,20260603 131950,5,3,4K,4,01:22,758×400,18.5,18989.0,60/1,2026-06-03 13:34:58,OK
2,20260603 131950,5,3,4K,3,01:44,496×262,12.2,9763.0,60/1,2026-06-03 13:34:58,OK
2,20260603 131950,5,3,4K,2,02:03,326×172,8.0,21322.0,60/1,2026-06-03 13:34:58,OK
2,20260603 131950,5,4,4K,5,00:01,4096×2160,100.0,12627.0,60/1,2026-06-03 13:37:41,OK
2,20260603 131950,5,4,4K,4,01:11,936×494,22.9,23949.0,60/1,2026-06-03 13:37:41,OK
2,20260603 131950,5,4,4K,3,01:44,496×262,12.2,17190.0,60/1,2026-06-03 13:37:41,OK
